ObservationDate;Confirmed
02/27/2020;65596.0
02/27/2020;1766.0
02/27/2020;1347.0
02/27/2020;1272.0
02/27/2020;1205.0
02/27/2020;1017.0
02/27/2020;989.0
02/27/2020;934.0
02/27/2020;756.0
02/27/2020;705.0
02/27/2020;655.0
02/27/2020;631.0
02/27/2020;576.0
02/27/2020;534.0
02/27/2020;480.0
02/27/2020;410.0
02/27/2020;337.0
02/27/2020;317.0
02/27/2020;296.0
02/27/2020;252.0
02/27/2020;245.0
02/27/2020;245.0
02/27/2020;214.0
02/27/2020;174.0
02/27/2020;168.0
02/27/2020;146.0
02/27/2020;136.0
02/27/2020;133.0
02/27/2020;121.0
02/27/2020;93.0
02/27/2020;93.0
02/27/2020;92.0
02/27/2020;91.0
02/27/2020;76.0
02/27/2020;75.0
02/27/2020;72.0
02/27/2020;46.0
02/27/2020;43.0
02/27/2020;42.0
02/27/2020;40.0
02/27/2020;38.0
02/27/2020;33.0
02/27/2020;32.0
02/27/2020;23.0
02/27/2020;18.0
02/27/2020;16.0
02/27/2020;15.0
02/27/2020;15.0
02/27/2020;13.0
02/27/2020;10.0
02/27/2020;8.0
02/27/2020;8.0
02/27/2020;7.0
02/27/2020;7.0
02/27/2020;7.0
02/27/2020;5.0
02/27/2020;5.0
02/27/2020;4.0
02/27/2020;4.0
02/27/2020;4.0
02/27/2020;3.0
02/27/2020;3.0
02/27/2020;3.0
02/27/2020;3.0
02/27/2020;3.0
02/27/2020;3.0
02/27/2020;2.0
02/27/2020;2.0
02/27/2020;2.0
02/27/2020;2.0
02/27/2020;2.0
02/27/2020;2.0
02/27/2020;2.0
02/27/2020;2.0
02/27/2020;2.0
02/27/2020;2.0
02/27/2020;1.0
02/27/2020;1.0
02/27/2020;1.0
02/27/2020;1.0
02/27/2020;1.0
02/27/2020;1.0
02/27/2020;1.0
02/27/2020;1.0
02/27/2020;1.0
02/27/2020;1.0
02/27/2020;1.0
02/27/2020;1.0
02/27/2020;1.0
02/27/2020;1.0
02/27/2020;1.0
02/27/2020;1.0
02/27/2020;1.0
02/27/2020;1.0
02/27/2020;1.0
02/27/2020;1.0
02/27/2020;1.0
02/27/2020;1.0
02/27/2020;1.0
02/27/2020;1.0
02/27/2020;1.0
02/27/2020;1.0
02/27/2020;0.0
02/27/2020;0.0
02/27/2020;0.0
02/28/2020;65914.0
02/28/2020;2337.0
02/28/2020;1348.0
02/28/2020;1272.0
02/28/2020;1205.0
02/28/2020;1017.0
02/28/2020;990.0
02/28/2020;935.0
02/28/2020;888.0
02/28/2020;756.0
02/28/2020;705.0
02/28/2020;631.0
02/28/2020;576.0
02/28/2020;538.0
02/28/2020;480.0
02/28/2020;410.0
02/28/2020;388.0
02/28/2020;337.0
02/28/2020;318.0
02/28/2020;296.0
02/28/2020;252.0
02/28/2020;245.0
02/28/2020;228.0
02/28/2020;174.0
02/28/2020;168.0
02/28/2020;146.0
02/28/2020;136.0
02/28/2020;133.0
02/28/2020;121.0
02/28/2020;94.0
02/28/2020;93.0
02/28/2020;93.0
02/28/2020;91.0
02/28/2020;76.0
02/28/2020;75.0
02/28/2020;72.0
02/28/2020;57.0
02/28/2020;48.0
02/28/2020;45.0
02/28/2020;44.0
02/28/2020;41.0
02/28/2020;36.0
02/28/2020;34.0
02/28/2020;32.0
02/28/2020;23.0
02/28/2020;20.0
02/28/2020;19.0
02/28/2020;18.0
02/28/2020;16.0
02/28/2020;10.0
02/28/2020;8.0
02/28/2020;8.0
02/28/2020;7.0
02/28/2020;7.0
02/28/2020;7.0
02/28/2020;6.0
02/28/2020;5.0
02/28/2020;5.0
02/28/2020;5.0
02/28/2020;4.0
02/28/2020;4.0
02/28/2020;4.0
02/28/2020;4.0
02/28/2020;4.0
02/28/2020;3.0
02/28/2020;3.0
02/28/2020;3.0
02/28/2020;3.0
02/28/2020;2.0
02/28/2020;2.0
02/28/2020;2.0
02/28/2020;2.0
02/28/2020;2.0
02/28/2020;2.0
02/28/2020;2.0
02/28/2020;2.0
02/28/2020;2.0
02/28/2020;2.0
02/28/2020;1.0
02/28/2020;1.0
02/28/2020;1.0
02/28/2020;1.0
02/28/2020;1.0
02/28/2020;1.0
02/28/2020;1.0
02/28/2020;1.0
02/28/2020;1.0
02/28/2020;1.0
02/28/2020;1.0
02/28/2020;1.0
02/28/2020;1.0
02/28/2020;1.0
02/28/2020;1.0
02/28/2020;1.0
02/28/2020;1.0
02/28/2020;1.0
02/28/2020;1.0
02/28/2020;1.0
02/28/2020;1.0
02/28/2020;1.0
02/28/2020;1.0
02/28/2020;1.0
02/28/2020;1.0
02/28/2020;1.0
02/28/2020;1.0
02/28/2020;1.0
02/28/2020;1.0
02/28/2020;1.0
02/28/2020;1.0
02/28/2020;1.0
02/28/2020;1.0
02/28/2020;0.0
02/28/2020;0.0
02/28/2020;0.0
02/29/2020;66337.0
02/29/2020;3150.0
02/29/2020;1349.0
02/29/2020;1272.0
02/29/2020;1205.0
02/29/2020;1128.0
02/29/2020;1018.0
02/29/2020;990.0
02/29/2020;935.0
02/29/2020;756.0
02/29/2020;705.0
02/29/2020;631.0
02/29/2020;593.0
02/29/2020;576.0
02/29/2020;538.0
02/29/2020;480.0
02/29/2020;411.0
02/29/2020;337.0
02/29/2020;318.0
02/29/2020;296.0
02/29/2020;252.0
02/29/2020;245.0
02/29/2020;241.0
02/29/2020;174.0
02/29/2020;168.0
02/29/2020;146.0
02/29/2020;136.0
02/29/2020;133.0
02/29/2020;121.0
02/29/2020;102.0
02/29/2020;100.0
02/29/2020;95.0
02/29/2020;93.0
02/29/2020;91.0
02/29/2020;79.0
02/29/2020;76.0
02/29/2020;75.0
02/29/2020;73.0
02/29/2020;45.0
02/29/2020;45.0
02/29/2020;44.0
02/29/2020;42.0
02/29/2020;41.0
02/29/2020;39.0
02/29/2020;25.0
02/29/2020;23.0
02/29/2020;21.0
02/29/2020;18.0
02/29/2020;18.0
02/29/2020;16.0
02/29/2020;15.0
02/29/2020;13.0
02/29/2020;12.0
02/29/2020;10.0
02/29/2020;10.0
02/29/2020;9.0
02/29/2020;9.0
02/29/2020;8.0
02/29/2020;7.0
02/29/2020;7.0
02/29/2020;6.0
02/29/2020;6.0
02/29/2020;6.0
02/29/2020;6.0
02/29/2020;4.0
02/29/2020;4.0
02/29/2020;4.0
02/29/2020;4.0
02/29/2020;4.0
02/29/2020;3.0
02/29/2020;3.0
02/29/2020;3.0
02/29/2020;3.0
02/29/2020;3.0
02/29/2020;3.0
02/29/2020;3.0
02/29/2020;2.0
02/29/2020;2.0
02/29/2020;2.0
02/29/2020;2.0
02/29/2020;2.0
02/29/2020;2.0
02/29/2020;2.0
02/29/2020;1.0
02/29/2020;1.0
02/29/2020;1.0
02/29/2020;1.0
02/29/2020;1.0
02/29/2020;1.0
02/29/2020;1.0
02/29/2020;1.0
02/29/2020;1.0
02/29/2020;1.0
02/29/2020;1.0
02/29/2020;1.0
02/29/2020;1.0
02/29/2020;1.0
02/29/2020;1.0
02/29/2020;1.0
02/29/2020;1.0
